PUNJAB,SARGODHA DIVISION,103786,104816,13,151034,10785,10625,3,11963
PUNJAB,SARGODHA DIVISION,141575,148045,13,212529,41802,42747,12,43968
PUNJAB,SARGODHA DIVISION,309003,309905,38,429435,75781,71602,28,102721
PUNJAB,SARGODHA DIVISION,155412,150768,30,194646,48396,47435,9,73321
PUNJAB,SARGODHA DIVISION,117608,116627,14,177095,61417,60521,19,77637
PUNJAB,SARGODHA DIVISION,126458,127941,17,181739,30135,29805,13,44626
PUNJAB,SARGODHA DIVISION,196994,189454,31,294224,33253,32226,20,44566
PUNJAB,SARGODHA DIVISION,445798,431062,84,623019,333705,324361,142,458440
PUNJAB,SARGODHA DIVISION,142231,142423,9,211557,35088,33567,7,51190
PUNJAB,SARGODHA DIVISION,155014,151727,27,231205,19057,18657,5,23076
SINDH,Badin Division,166841,156079,37,220598,67672,63924,23,68661
SINDH,Badin Division,145296,135779,12,163664,27625,25711,17,19027
SINDH,Badin Division,178283,168105,25,226306,50438,47823,26,56967
SINDH,Badin Division,63538,59783,8,84883,24858,23819,8,23019
SINDH,Badin Division,176436,164367,25,224333,30190,28199,11,18814
SINDH,Hyderabad Division,144024,135048,13,218515,93729,88831,20,109457
SINDH,Hyderabad Division,136451,128864,43,189386,14693,14330,8,17997
SINDH,Hyderabad Division,134109,127898,57,203317,37356,35054,3,49992
SINDH,Hyderabad Division,184536,175895,46,266365,50802,48560,20,51688
SINDH,Hyderabad Division,0,0,0,7696,377362,347701,90,517603
SINDH,Hyderabad Division,193286,180086,38,263986,48603,44283,10,26446
SINDH,Hyderabad Division,0,0,0,17717,365533,338011,146,546044
SINDH,Hyderabad Division,0,0,0,12127,160432,144326,21,103247
SINDH,Hyderabad Division,78348,67565,19,145489,153194,138878,59,62085
SINDH,Hyderabad Division,62415,57150,5,92426,10882,10314,0,7679
SINDH,Hyderabad Division,85449,80007,11,121425,54116,50207,27,49164
SINDH,Hyderabad Division,70918,59391,9,91126,7747,7190,7,12700
SINDH,Hyderabad Division,74227,69933,7,104921,61267,57194,11,57060
SINDH,Hyderabad Division,153639,144272,39,188997,22346,20808,6,29068
SINDH,Hyderabad Division,74611,70629,14,100466,10832,10205,0,13732
SINDH,Hyderabad Division,98600,91083,24,116175,6253,5906,2,7782
SINDH,Hyderabad Division,99141,91353,26,135349,0,0,0,0
SINDH,Hyderabad Division,74057,67943,21,87174,10378,9916,6,16566
SINDH,Hyderabad Division,83675,77389,19,104013,9209,8514,4,13401
SINDH,Hyderabad Division,89467,84533,17,114871,18126,17174,8,23286
SINDH,Hyderabad Division,115059,108080,32,141913,18623,17559,3,10687
SINDH,Hyderabad Division,89782,83435,23,130486,9319,8680,0,0
SINDH,Hyderabad Division,118786,111822,22,153434,110447,103422,46,95569
SINDH,Hyderabad Division,77411,73465,19,114751,3292,3087,2,4249
SINDH,Hyderabad Division,79437,74070,29,100794,17668,16120,0,0
SINDH,Hyderabad Division,78542,72297,5,105482,52528,49324,16,65396
SINDH,Hyderabad Division,29066,26363,0,38897,11982,11217,3,0
SINDH,Hyderabad Division,153190,141363,8,175176,2201,2068,1,2513
SINDH,Hyderabad Division,158445,146379,4,216233,24458,22665,5,23676
SINDH,Hyderabad Division,0,0,0,0,52259,49606,11,37515
SINDH,Karachi Division,0,0,0,0,257941,238090,63,423517
SINDH,Karachi Division,0,0,0,0,233469,215513,116,388078
SINDH,Karachi Division,0,0,0,0,233024,213259,64,366081
SINDH,Karachi Division,0,0,0,0,452843,418282,120,580472
SINDH,Karachi Division,0,0,0,0,364751,343716,131,530923
SINDH,Karachi Division,0,0,0,0,401237,360249,145,521369
SINDH,Karachi Division,0,0,0,0,433347,408298,155,415380
